math score,gender,race/ethnicity,parental level of education,lunch,test preparation course
72,female,group B,bachelor's degree,standard,none
69,female,group C,some college,standard,completed
90,female,group B,master's degree,standard,none
47,male,group A,associate's degree,free/reduced,none
76,male,group C,some college,standard,none
71,female,group B,associate's degree,standard,none
88,female,group B,some college,standard,completed
40,male,group B,some college,free/reduced,none
64,male,group D,high school,free/reduced,completed
38,female,group B,high school,free/reduced,none
58,male,group C,associate's degree,standard,none
40,male,group D,associate's degree,standard,none
65,female,group B,high school,standard,none
78,male,group A,some college,standard,completed
50,female,group A,master's degree,standard,none
69,female,group C,some high school,standard,none
88,male,group C,high school,standard,none
18,female,group B,some high school,free/reduced,none
46,male,group C,master's degree,free/reduced,completed
54,female,group C,associate's degree,free/reduced,none
66,male,group D,high school,standard,none
65,female,group B,some college,free/reduced,completed
44,male,group D,some college,standard,none
69,female,group C,some high school,standard,none
74,male,group D,bachelor's degree,free/reduced,completed
73,male,group A,master's degree,free/reduced,none
69,male,group B,some college,standard,none
67,female,group C,bachelor's degree,standard,none
70,male,group C,high school,standard,none
62,female,group D,master's degree,standard,none
69,female,group D,some college,standard,none
63,female,group B,some college,standard,none
56,female,group E,master's degree,free/reduced,none
40,male,group D,some college,standard,none
97,male,group E,some college,standard,none
81,male,group E,associate's degree,standard,completed
74,female,group D,associate's degree,standard,none
50,female,group D,some high school,free/reduced,none
75,female,group D,associate's degree,free/reduced,completed
57,male,group B,associate's degree,free/reduced,none
55,male,group C,associate's degree,free/reduced,none
58,female,group C,associate's degree,standard,none
53,female,group B,associate's degree,standard,none
59,male,group B,some college,free/reduced,completed
50,female,group E,associate's degree,free/reduced,none
65,male,group B,associate's degree,standard,none
55,female,group A,associate's degree,standard,completed
66,female,group C,high school,standard,none
57,female,group D,associate's degree,free/reduced,completed
82,male,group C,high school,standard,completed
53,male,group E,some college,standard,none
77,male,group E,associate's degree,free/reduced,completed
53,male,group C,some college,standard,none
88,male,group D,high school,standard,none
71,female,group C,some high school,free/reduced,completed
33,female,group C,high school,free/reduced,none
82,female,group E,associate's degree,standard,completed
52,male,group D,associate's degree,standard,none
58,male,group D,some college,standard,completed
0,female,group C,some high school,free/reduced,none
79,male,group E,bachelor's degree,free/reduced,completed
39,male,group A,some high school,free/reduced,none
62,male,group A,associate's degree,free/reduced,none
69,female,group C,associate's degree,standard,none
